nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp
1126,2,2,2,1,"[30, +)",1,trabaja,2,3,NA,NA,1,NA,NA
1126,3,2,4,2,NA,2,trabaja,6,9,NA,NA,1,NA,NA
1126,4,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1127,1,1,2,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1127,2,3,2,2,"[30, +)",1,trabaja,2,9,NA,NA,NA,2160,NA
1127,3,3,2,1,"[21,30)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1127,4,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1127,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1127,13,1,2,3,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1128,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1128,2,3,4,1,"[30, +)",1,trabaja,2,4,NA,NA,1,NA,NA
1128,3,3,4,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
1128,4,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1129,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1129,4,4,5,1,"[30, +)",2,trabaja,2,8,NA,NA,1,1600,NA
1129,5,1,4,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1129,6,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1130,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1130,2,3,5,1,"[30, +)",1,trabaja,4,9,NA,NA,NA,NA,NA
1130,3,3,5,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,1300,NA
1130,4,5,2,9,NA,2,pensionista,NA,NA,3000,NA,NA,NA,NA
1130,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1131,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,1,NA,2
1131,3,1,4,1,"[30, +)",2,trabaja,5,7,NA,NA,1,1200,NA
1131,13,1,4,2,"[30, +)",1,trabaja,5,7,NA,NA,1,NA,2
1131,14,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,1,NA,2
1133,1,1,2,5,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1133,3,1,4,2,"[30, +)",2,trabaja,2,5,0,0,1,999999,2
1133,13,1,4,1,"[21,30)",1,trabaja,2,5,0,0,1,999999,1000
1133,14,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
1134,1,1,2,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1134,2,2,2,1,"[30, +)",2,trabaja,6,5,NA,NA,1,NA,NA
1134,3,2,2,2,"[30, +)",1,trabaja,2,7,NA,NA,NA,1400,NA
1134,13,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1135,1,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1135,2,2,4,1,"[30, +)",1,trabaja,2,7,NA,NA,NA,NA,NA
1135,3,2,4,2,"[30, +)",2,trabaja,2,5,NA,NA,NA,2044,NA
1135,4,4,2,8,NA,2,pensionista,NA,NA,999999,NA,NA,NA,NA
1135,13,1,NA,3,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1135,14,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1136,1,1,2,4,"[15, 18)",1,trabaja,6,9,NA,NA,1,NA,NA
1136,8,2,2,1,"[30, +)",2,trabaja,6,5,NA,NA,3,1300,NA
1136,3,1,2,4,"[18,21)",2,desocupado,NA,NA,NA,NA,1,800,NA
1136,4,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1136,5,1,NA,3,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1136,6,1,NA,7,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
1136,7,2,2,2,"[30, +)",1,desocupado,NA,NA,NA,NA,1,NA,NA
1137,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,1,NA,NA
1137,2,1,4,1,NA,2,trabaja,2,5,6000,NA,1,1600,NA
1137,3,1,4,4,"[21,30)",1,estudia,NA,NA,NA,NA,1,NA,NA
1137,4,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,1,NA,NA
1138,1,1,2,7,"[12,15)",2,NA,NA,NA,NA,NA,1,NA,NA
1138,2,3,NA,1,NA,1,trabaja,1,1,NA,NA,1,NA,1000
1138,3,3,2,2,NA,2,trabaja,2,5,NA,NA,1,1200,NA
1138,4,1,NA,3,"[30, +)",1,pensionista,NA,NA,3700,NA,1,NA,NA
1138,6,1,3,3,"[21,30)",2,desocupado,NA,NA,NA,NA,1,NA,NA
1138,8,1,3,3,"[21,30)",2,nada,NA,NA,NA,NA,NA,NA,NA
1138,9,1,4,3,"[18,21)",1,nada,NA,NA,NA,NA,NA,NA,NA
1138,14,1,1,7,"[3, 6)",1,NA,NA,NA,NA,NA,1,NA,NA
1138,16,1,NA,7,[0-3),1,NA,NA,NA,NA,NA,1,NA,NA
1140,1,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1140,2,2,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,2,3000,NA
1140,3,1,2,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1140,4,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1140,5,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1140,6,2,NA,2,"[30, +)",1,trabaja,2,9,NA,NA,NA,NA,NA
1141,1,1,5,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1141,3,4,4,1,"[30, +)",2,trabaja,2,3,NA,NA,NA,170,NA
1141,4,1,5,4,"[18,21)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1144,1,1,2,5,"[12,15)",1,nada,NA,NA,NA,NA,NA,NA,NA
1144,2,2,2,2,"[30, +)",2,trabaja,2,9,NA,NA,3,2500,NA
1144,3,1,2,5,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
1144,4,1,2,5,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1144,5,1,2,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1144,6,1,2,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1144,13,2,2,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,NA,NA
1144,14,1,1,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1144,15,1,1,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
1145,1,1,5,3,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
1145,2,3,2,2,"[30, +)",2,trabaja,1,9,NA,NA,1,NA,NA
1145,3,3,2,1,"[30, +)",1,trabaja,2,9,NA,NA,1,NA,NA
1145,4,1,5,3,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
1145,5,1,2,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1145,6,1,2,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1145,7,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1145,8,5,2,12,NA,2,pensionista,NA,NA,3000,NA,1,NA,NA
1146,1,1,4,5,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1146,3,2,2,2,"[30, +)",2,desocupado,NA,NA,NA,NA,NA,1658,NA
1146,6,1,2,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1146,13,2,2,1,NA,1,trabaja,6,9,NA,NA,NA,NA,NA
1147,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1147,2,3,4,1,"[30, +)",1,trabaja,2,9,NA,NA,1,NA,NA
1147,3,3,4,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
1147,4,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1148,1,1,2,4,"[12,15)",2,nada,NA,NA,NA,NA,NA,NA,NA
1148,2,5,2,1,NA,1,trabaja,2,9,NA,NA,3,1927,NA
1148,4,4,4,4,"[21,30)",2,nada,NA,NA,NA,NA,NA,NA,NA
1148,5,1,2,4,"[18,21)",2,nada,NA,NA,NA,NA,NA,NA,NA
1148,6,1,2,4,"[15, 18)",1,trabaja,6,9,NA,NA,2,NA,NA
1148,7,1,2,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1148,8,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1149,1,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1149,2,1,2,1,"[30, +)",2,trabaja,2,9,NA,NA,1,1236,NA
1149,3,1,9,4,"[18,21)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1150,1,1,4,7,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1150,2,3,5,2,NA,2,t.hogar,NA,NA,1800,NA,1,NA,NA
1150,3,3,4,1,NA,1,desocupado,NA,NA,NA,NA,1,NA,NA
1150,4,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1151,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,180,NA
1151,2,1,9,1,"[30, +)",2,trabaja,1,2,NA,NA,1,NA,NA
1151,3,1,10,10,"[30, +)",2,trabaja,1,2,NA,NA,1,180,NA
1151,4,1,3,9,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1152,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1152,2,3,4,1,NA,1,trabaja,2,9,NA,NA,NA,NA,NA
1152,3,3,2,2,"[30, +)",2,nada,NA,NA,NA,NA,NA,NA,NA
1152,4,1,9,3,"[21,30)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1152,5,1,4,3,"[18,21)",1,trabaja,2,9,NA,NA,NA,NA,NA
1152,13,1,1,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1154,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1154,2,3,10,1,"[30, +)",1,trabaja,2,3,NA,NA,1,999999,NA
1154,3,3,10,2,"[30, +)",2,trabaja,2,3,NA,NA,NA,NA,NA
1154,4,1,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1155,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1155,2,2,1,1,"[30, +)",1,trabaja,1,10,NA,NA,NA,NA,NA
1155,3,2,1,2,"[30, +)",2,desocupado,NA,NA,NA,NA,NA,NA,NA
1155,4,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1160,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1160,2,3,4,1,"[30, +)",1,trabaja,5,3,NA,NA,NA,NA,NA
1160,3,3,2,2,"[30, +)",2,pensionista,NA,NA,5000,NA,NA,350,NA
1161,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1161,2,2,4,2,"[30, +)",2,trabaja,1,9,NA,NA,NA,1400,NA
1161,3,2,2,1,"[30, +)",1,trabaja,1,9,NA,NA,NA,NA,NA
1161,4,1,4,3,"[18,21)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1161,6,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1161,13,1,NA,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1162,1,1,2,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1162,2,3,2,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,1675,NA
1162,3,3,2,2,"[30, +)",2,nada,NA,NA,NA,NA,NA,NA,NA
1162,4,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1162,13,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1164,1,1,4,5,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1164,3,2,4,2,"[30, +)",2,trabaja,2,4,1600,NA,1,NA,NA
1164,4,1,10,5,"[18,21)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1164,5,1,4,5,"[18,21)",2,trabaja,2,5,NA,NA,NA,NA,NA
1164,13,2,4,1,"[30, +)",1,trabaja,2,4,NA,NA,NA,NA,NA
1164,14,1,1,3,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1166,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,1,NA,NA
1166,2,3,2,1,"[30, +)",1,t.hogar,NA,NA,NA,NA,1,NA,NA
1166,3,3,4,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,1,NA,NA
1166,5,5,10,8,NA,2,t.hogar,NA,NA,15000,NA,1,NA,NA
1166,13,4,4,12,"[30, +)",2,t.hogar,NA,NA,4000,NA,1,NA,NA
1166,14,1,NA,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1167,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1167,3,2,10,1,"[30, +)",2,trabaja,2,3,NA,0,1,NA,1700
1167,4,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1167,13,2,10,99,NA,1,trabaja,2,2,NA,NA,NA,NA,NA
1168,1,1,4,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1168,2,4,10,1,"[30, +)",2,trabaja,2,2,3000,NA,1,NA,NA
1168,3,1,10,4,"[18,21)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1168,4,1,10,4,"[21,30)",2,trabaja,2,2,NA,NA,NA,NA,NA
1169,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1169,2,2,9,1,"[30, +)",1,trabaja,6,9,NA,NA,NA,1800,NA
1169,3,2,2,2,"[30, +)",2,trabaja,2,4,NA,NA,NA,NA,NA
1169,13,9,NA,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1169,14,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1171,1,1,4,12,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1171,2,3,4,3,"[30, +)",1,trabaja,2,7,NA,NA,NA,NA,NA
1171,3,3,2,6,"[30, +)",2,trabaja,2,7,NA,NA,NA,NA,NA
1171,4,1,4,12,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1171,5,3,2,1,NA,1,jubilado,NA,NA,18000,NA,NA,NA,2
1171,6,3,2,2,NA,2,nada,NA,NA,NA,NA,NA,NA,NA
1171,13,1,2,3,"[21,30)",1,trabaja,2,7,NA,NA,NA,NA,NA
1172,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1172,2,3,10,2,"[30, +)",1,desocupado,NA,NA,NA,NA,NA,NA,NA
1172,3,3,10,1,"[30, +)",2,trabaja,1,2,NA,NA,NA,NA,NA
1172,4,1,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1173,1,1,4,12,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1173,3,2,5,2,"[30, +)",2,trabaja,2,5,NA,NA,1,2800,NA
1173,4,2,4,1,"[30, +)",1,trabaja,1,5,NA,NA,1,NA,NA
1173,6,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,1,NA,NA
1173,13,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1173,14,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1174,1,1,4,3,"[12,15)",2,nada,NA,NA,NA,NA,NA,NA,NA
1174,5,2,5,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,3,1900,NA
1174,7,2,5,1,"[30, +)",1,trabaja,1,5,NA,NA,NA,NA,NA
1174,8,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1174,9,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1174,10,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
1175,1,1,4,4,"[12,15)",2,NA,NA,NA,7250,NA,1,NA,NA
1175,2,4,10,1,"[30, +)",2,trabaja,1,2,NA,NA,1,NA,NA
1175,4,1,4,4,"[15, 18)",1,estudia,NA,NA,7250,NA,1,NA,NA
1177,1,1,2,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1177,3,4,4,1,"[21,30)",2,trabaja,2,9,NA,NA,1,NA,NA
1177,4,1,2,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1177,5,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1177,13,1,1,4,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
1179,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1179,2,3,2,1,"[30, +)",1,trabaja,6,6,NA,NA,NA,NA,NA
1179,3,3,4,2,"[30, +)",2,trabaja,2,1,NA,NA,NA,1424,NA
1179,4,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1184,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1184,2,2,2,1,"[30, +)",1,trabaja,2,8,NA,NA,NA,NA,NA
1184,3,2,4,2,"[30, +)",2,trabaja,2,3,NA,NA,NA,NA,NA
1185,1,1,4,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1185,2,4,10,4,"[30, +)",2,trabaja,2,5,NA,NA,NA,700,NA
1185,13,1,1,4,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1189,1,1,2,5,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1189,2,2,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,860,NA
1189,3,1,4,5,"[12,15)",2,pensionista,NA,NA,2500,NA,NA,NA,NA
1189,13,1,NA,4,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
1189,14,2,2,1,"[30, +)",1,trabaja,2,8,NA,NA,NA,NA,2300
1197,1,1,4,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1197,3,1,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,1050,NA
1197,4,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1197,13,1,1,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1198,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1198,3,2,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,1,2000,NA
1198,5,1,2,5,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1198,6,1,2,5,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1198,13,1,1,5,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1198,14,2,5,2,"[30, +)",1,trabaja,1,8,999999,NA,NA,NA,NA
1199,1,1,2,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1199,3,5,2,1,"[30, +)",2,trabaja,6,9,6000,NA,NA,NA,NA
1199,4,1,2,4,"[21,30)",1,trabaja,6,9,NA,NA,NA,NA,NA
1199,7,1,3,4,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
1199,8,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1200,1,1,4,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1200,2,4,4,1,"[30, +)",2,trabaja,6,5,NA,NA,3,3000,NA
1200,4,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1200,5,1,4,99,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1200,6,1,4,4,"[18,21)",2,trabaja,6,5,NA,NA,NA,NA,NA
1200,13,1,1,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
1201,1,1,5,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1201,2,3,5,2,"[30, +)",1,trabaja,2,8,NA,NA,NA,NA,NA
1201,3,3,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,3,2270,NA
1201,4,1,2,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1201,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1201,6,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1201,7,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1201,8,1,5,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1201,13,1,2,4,"[18,21)",1,trabaja,2,9,NA,NA,NA,NA,NA
1201,14,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1202,1,1,5,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1202,2,3,5,2,"[30, +)",1,trabaja,2,8,NA,NA,NA,NA,NA
1202,3,3,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,3,2270,NA
1202,4,1,2,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
1202,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1202,6,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1202,7,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1202,8,1,5,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1202,13,1,2,4,"[18,21)",1,trabaja,2,9,NA,NA,NA,NA,NA
1202,14,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1204,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1204,3,4,2,1,"[30, +)",2,trabaja,1,9,3500,NA,1,2000,NA
1204,4,2,4,4,"[21,30)",1,trabaja,1,9,NA,NA,1,NA,NA
1204,5,1,4,4,"[21,30)",1,trabaja,1,9,NA,NA,1,NA,NA
1204,6,2,4,4,"[21,30)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1204,7,1,4,4,"[15, 18)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1204,8,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1206,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1206,2,3,10,2,"[30, +)",2,trabaja,6,2,NA,NA,1,NA,NA
1206,3,3,10,1,"[30, +)",1,trabaja,2,2,NA,NA,NA,NA,3000
1206,4,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
1207,1,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1207,2,5,2,1,NA,2,trabaja,NA,NA,NA,NA,3,2500,NA
1207,3,0,NA,99,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1207,4,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1207,5,1,4,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1207,6,1,1,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1208,1,1,4,12,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1208,2,1,4,10,"[30, +)",2,trabaja,2,5,NA,NA,NA,NA,NA
1208,3,1,4,12,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1208,13,1,4,1,"[21,30)",2,trabaja,2,5,NA,NA,3,1060,NA
1208,14,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1208,15,1,1,4,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
1209,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1209,2,3,2,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,NA,NA
1209,3,3,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1209,5,1,5,3,"[18,21)",1,trabaja,2,8,NA,NA,NA,NA,NA
1209,6,1,5,3,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
1210,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1210,2,2,4,2,NA,1,trabaja,2,5,NA,NA,1,NA,NA
1210,3,2,9,1,NA,2,trabaja,1,1,NA,NA,1,178,NA
1213,1,1,2,3,"[12,15)",1,nada,NA,NA,NA,NA,NA,NA,NA
1213,2,3,6,1,"[30, +)",1,trabaja,2,5,NA,NA,NA,400,NA
1213,3,3,4,2,"[30, +)",2,desocupado,NA,NA,NA,NA,NA,NA,NA
1213,4,1,5,3,"[18,21)",1,trabaja,7,9,NA,NA,NA,NA,NA
1213,5,1,2,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1213,6,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1215,1,1,4,5,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1215,2,2,4,2,"[30, +)",2,trabaja,1,3,NA,NA,1,NA,NA
1215,13,2,4,1,"[30, +)",1,trabaja,1,10,NA,NA,1,NA,NA
1216,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1216,2,3,4,1,"[30, +)",1,trabaja,2,9,NA,NA,1,NA,NA
1216,3,3,2,2,"[30, +)",2,trabaja,2,9,NA,NA,NA,NA,NA
1216,4,1,4,3,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1217,1,1,2,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
1217,2,4,2,1,NA,1,trabaja,6,9,2000,NA,1,2300,NA
1217,4,1,2,4,"[15, 18)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1217,5,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1217,13,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
1218,1,1,4,5,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
1218,2,2,5,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
1218,13,1,5,4,"[15, 18)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1218,14,2,2,1,"[30, +)",1,desocupado,NA,NA,NA,NA,NA,NA,NA
1220,1,1,4,3,"[12,15)",1,nada,NA,NA,NA,NA,NA,NA,NA
1220,2,3,5,1,"[30, +)",1,trabaja,2,9,NA,NA,1,NA,NA
1220,3,3,4,2,"[21,30)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
1220,4,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
1220,13,1,1,3,"[3, 6)",2,NA,NA,NA,NA,NA,4,NA,NA
1221,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
1221,2,3,5,1,NA,1,desocupado,NA,NA,NA,NA,1,NA,NA
1221,3,3,4,2,"[30, +)",2,trabaja,6,5,999999,NA,1,1000,NA
1221,4,9,2,11,"[30, +)",1,nada,NA,NA,NA,NA,NA,NA,NA
1221,5,5,2,9,NA,2,jubilado,NA,NA,6000,NA,1,NA,NA
1221,7,1,4,3,"[18,21)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
