nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp
22,3,4,99,3,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,700,NA
22,13,2,4,1,NA,2,t.hogar,NA,NA,NA,NA,NA,NA,NA
22,14,2,4,2,NA,1,trabaja,NA,3,NA,NA,NA,NA,NA
23,1,1,2,4,"[12,15)",2,estudia,NA,NA,NA,NA,1,NA,NA
23,3,4,4,1,"[30, +)",2,trabaja,2,9,NA,NA,3,2200,NA
23,5,3,2,4,"[18,21)",2,t.hogar,NA,NA,NA,NA,1,NA,NA
23,6,1,4,4,"[18,21)",1,trabaja,6,5,NA,NA,1,NA,NA
23,8,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
23,9,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
23,13,1,NA,7,"[3, 6)",2,NA,NA,NA,NA,NA,5,NA,NA
23,14,1,NA,7,[0-3),1,NA,NA,NA,NA,NA,5,800,500
23,15,3,8,6,"[21,30)",1,trabaja,1,10,NA,NA,NA,NA,NA
25,3,4,4,1,"[30, +)",2,trabaja,2,9,NA,NA,3,2200,NA
25,5,3,2,4,"[18,21)",2,t.hogar,NA,NA,NA,NA,1,NA,NA
25,6,1,4,4,"[18,21)",1,trabaja,6,5,NA,NA,1,NA,NA
25,7,1,2,4,"[12,15)",2,estudia,NA,NA,NA,NA,1,NA,NA
25,8,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
25,9,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
25,13,1,NA,7,"[3, 6)",2,NA,NA,NA,NA,NA,5,NA,NA
25,14,1,NA,7,[0-3),1,NA,NA,NA,NA,NA,5,NA,NA
25,15,3,8,6,"[21,30)",1,trabaja,1,10,NA,NA,NA,800,500
26,1,1,4,4,"[12,15)",2,desocupado,NA,NA,NA,NA,NA,NA,NA
26,2,4,4,1,"[30, +)",2,trabaja,2,5,1530,NA,3,NA,NA
26,4,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
26,5,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
26,13,1,4,4,"[15, 18)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
26,14,1,4,4,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
26,15,1,1,7,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
28,2,3,4,1,"[30, +)",1,trabaja,2,5,NA,NA,2,NA,NA
28,3,3,5,2,"[30, +)",2,trabaja,6,5,NA,NA,2,NA,NA
28,4,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,4,4,"[12,15)",1,t.hogar,NA,NA,NA,NA,1,1800,NA
29,2,4,2,1,NA,2,trabaja,2,9,NA,NA,1,NA,NA
29,3,1,2,7,"[6,12)",1,NA,NA,NA,NA,NA,4,NA,NA
32,1,1,2,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
32,2,3,4,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,350,NA
32,3,3,2,2,"[21,30)",2,nada,NA,NA,NA,NA,NA,NA,NA
32,13,1,NA,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
33,2,2,4,1,"[30, +)",2,trabaja,2,9,NA,NA,NA,350,NA
33,13,2,4,2,"[30, +)",1,trabaja,2,9,NA,NA,NA,NA,NA
35,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
35,2,3,4,1,NA,1,trabaja,2,9,NA,NA,NA,NA,NA
35,3,3,4,2,NA,2,nada,NA,NA,NA,NA,NA,1226,NA
39,1,1,5,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
39,2,3,2,1,"[30, +)",1,trabaja,2,6,NA,NA,NA,NA,NA
39,3,3,5,2,"[30, +)",2,trabaja,2,9,NA,NA,NA,NA,NA
39,4,1,9,3,"[18,21)",2,trabaja,2,5,NA,NA,NA,NA,NA
39,5,1,2,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
39,6,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
41,2,3,2,1,"[30, +)",1,trabaja,2,5,3000,NA,1,NA,NA
41,3,3,2,2,"[30, +)",2,desocupado,NA,NA,NA,NA,1,NA,NA
43,1,1,5,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
43,2,3,5,1,"[30, +)",1,trabaja,2,9,NA,NA,1,2300,NA
43,3,3,4,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
43,4,1,5,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
43,5,1,4,3,"[18,21)",2,trabaja,2,9,NA,NA,1,NA,NA
44,1,1,5,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
44,2,3,5,1,"[30, +)",1,trabaja,2,9,NA,NA,1,2300,NA
44,3,3,4,2,"[30, +)",2,trabaja,2,9,NA,NA,1,NA,NA
44,4,1,5,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
44,5,1,4,3,"[18,21)",2,trabaja,2,9,NA,NA,1,NA,NA
49,1,1,5,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
49,2,1,2,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,1600,NA
49,3,1,2,8,NA,2,pensionista,NA,NA,3600,NA,NA,NA,NA
49,13,1,4,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
50,1,1,5,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
50,2,3,2,2,"[30, +)",1,trabaja,2,9,NA,NA,1,NA,NA
50,3,3,2,1,"[30, +)",2,trabaja,2,9,NA,NA,1,1200,NA
52,1,1,2,3,"[12,15)",1,estudia,NA,NA,4000,NA,3,NA,NA
52,2,3,5,1,"[30, +)",1,trabaja,2,9,NA,NA,NA,3700,NA
52,3,3,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
52,5,1,4,3,"[21,30)",1,trabaja,2,9,NA,NA,NA,NA,NA
52,6,1,2,3,"[18,21)",1,desocupado,NA,NA,NA,NA,NA,NA,NA
